,Total Sample,,Gender,,,Irish Region,,,,,,Age,,,,,,"Question 2 - How frequently do you typically buy something that you didn’t plan to buy, when shopping in a supermarket, grocery store or off licence at Christmas time?", ,,,,,"Question 3 - To what extent are the purchase decisions you make at Christmas in a supermarket, grocery store or off licence, impacted by the advertising you see?", ,,,,,"Question 5 - Top 3 favourite Brands to buy in a supermarket, grocery store or off licence at Christmas time?", ,,,,,,,,,,,,,,,,,,,,,Question 6 - Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time?, ,,,,,,,,,,,Question 7 - And what other types of media are likely to get your attention when looking for brands at Christmas time? Please select all that apply. , ,,,,,,,,,,,Females,Females Dublin,No Segments
Demographics,,,Male,Female, ,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only), ,18-24,25-34,35-44,45-54,55-64, ,Always,Often,Sometimes ,Rarely ,Never , ,Always ,Often ,Sometimes ,Rarely ,Never , ,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,None,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group, ,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email ,Other, ,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email ,Other, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30%,,28%,32%, ,32%,32%,31%,20%,28%, ,22%,26%,35%,28%,36%, ,18%,30%,41%,30%,41%, ,20%,21%,33%,41%,35%, ,25%,24%,33%,29%,30%,28%,36%,38%,33%,43%,31%,18%,30%,22%,30%,33%,21%,6%,18%,21%,0%, ,34%,29%,33%,31%,19%,22%,38%,26%,28%,37%,9%, ,32%,25%,31%,30%,24%,25%,25%,27%,30%,29%,20%, ,28%,31%,30%
Humour - Not very impactful,98,,39,59, ,31,28,27,10,2, ,16,22,21,24,15, ,21,33,27,14,3, ,3,21,42,25,6, ,1,7,2,30,12,8,3,18,3,1,29,0,7,2,3,7,8,2,12,3,0, ,23,5,6,2,9,4,9,16,12,7,5, ,34,23,17,13,22,6,31,35,31,21,3, ,23,20,66
,10%,,8%,12%, ,11%,10%,10%,9%,4%, ,12%,10%,8%,11%,9%, ,8%,9%,10%,16%,18%, ,4%,8%,10%,14%,11%, ,8%,7%,8%,10%,21%,15%,7%,19%,11%,4%,11%,0%,13%,11%,5%,7%,14%,13%,10%,8%,0%, ,9%,8%,12%,4%,15%,22%,8%,9%,8%,15%,45%, ,7%,8%,8%,6%,11%,6%,10%,10%,10%,11%,30%, ,13%,14%,9%
Humour - Not at all impactful,53,,26,27, ,8,16,17,10,2, ,4,7,11,19,12, ,15,7,11,17,3, ,1,2,15,16,19, ,2,4,1,9,3,6,1,2,8,2,7,0,4,1,0,8,3,0,5,4,0, ,16,3,2,4,3,0,3,8,9,1,4, ,16,15,12,12,8,2,15,9,9,7,2, ,5,5,43
,5%,,5%,5%, ,3%,6%,6%,9%,4%, ,3%,3%,4%,9%,7%, ,6%,2%,4%,20%,18%, ,1%,1%,4%,9%,33%, ,17%,4%,4%,3%,5%,11%,2%,2%,30%,7%,3%,0%,8%,6%,0%,8%,5%,0%,4%,11%,0%, ,6%,5%,4%,9%,5%,0%,3%,4%,6%,2%,36%, ,3%,5%,6%,6%,4%,2%,5%,3%,3%,4%,20%, ,3%,3%,6%
Occasion based messages (ideas for how and when I can use the product) - Very impactful ,122,,65,57, ,31,36,36,11,8, ,19,27,37,21,18, ,53,49,18,0,2, ,33,60,26,2,1, ,0,19,1,30,6,7,9,10,1,5,20,3,2,1,15,17,8,6,23,6,0, ,21,12,7,10,8,3,13,23,17,8,0, ,62,40,30,43,35,25,61,57,49,33,0, ,20,18,90
,12%,,13%,11%, ,11%,13%,13%,10%,15%, ,15%,12%,14%,10%,10%, ,21%,13%,7%,0%,12%, ,40%,22%,6%,1%,2%, ,0%,18%,4%,10%,11%,13%,20%,11%,4%,18%,7%,27%,4%,6%,24%,16%,14%,38%,20%,16%,0%, ,8%,19%,14%,22%,13%,17%,12%,12%,12%,17%,0%, ,13%,13%,14%,20%,17%,24%,20%,16%,15%,18%,0%, ,11%,13%,12%
Occasion based messages (ideas for how and when I can use the product) - Fairly Impactful,415,,185,230, ,116,109,107,58,25, ,55,99,104,86,71, ,120,178,95,19,3, ,31,134,187,55,8, ,4,46,13,148,22,24,16,31,7,10,129,2,24,13,23,37,24,6,47,13,0, ,110,24,20,15,28,6,55,78,57,19,3, ,209,136,85,87,97,47,135,159,142,87,2, ,85,60,292
,41%,,38%,45%, ,41%,39%,38%,51%,47%, ,43%,44%,40%,41%,40%, ,47%,46%,36%,22%,18%, ,38%,50%,45%,31%,14%, ,33%,44%,54%,48%,39%,45%,36%,33%,26%,36%,48%,18%,45%,72%,37%,35%,43%,38%,40%,34%,0%, ,41%,38%,41%,33%,45%,33%,52%,41%,39%,41%,27%, ,44%,45%,40%,40%,46%,44%,44%,44%,45%,47%,20%, ,46%,42%,40%
Occasion based messages (ideas for how and when I can use the product) - Neither,293,,153,140, ,94,76,85,21,17, ,36,71,68,61,57, ,54,100,99,33,7, ,11,56,147,61,17, ,6,25,4,87,22,12,12,30,7,10,83,1,15,3,14,34,16,3,25,15,0, ,84,15,12,12,21,5,26,60,38,16,4, ,147,80,57,61,50,25,69,101,81,48,4, ,51,45,214
,29%,,31%,27%, ,33%,28%,30%,19%,32%, ,28%,32%,26%,29%,32%, ,21%,26%,38%,38%,41%, ,13%,21%,36%,34%,30%, ,50%,24%,17%,28%,39%,23%,27%,32%,26%,36%,31%,9%,28%,17%,22%,32%,29%,19%,21%,39%,0%, ,31%,24%,24%,27%,34%,28%,25%,32%,26%,35%,36%, ,31%,26%,27%,28%,24%,24%,22%,28%,26%,26%,40%, ,28%,31%,29%
Occasion based messages (ideas for how and when I can use the product) - Not very impactful,108,,51,57, ,30,30,35,11,2, ,14,19,29,27,19, ,16,40,33,16,3, ,5,16,38,37,12, ,0,10,2,29,4,6,5,16,3,3,25,4,8,0,8,11,4,1,15,2,0, ,32,9,4,4,3,2,7,19,23,3,2, ,39,30,27,16,21,7,28,31,30,12,2, ,21,17,77
,11%,,10%,11%, ,11%,11%,13%,10%,4%, ,11%,8%,11%,13%,11%, ,6%,10%,13%,18%,18%, ,6%,6%,9%,21%,21%, ,0%,10%,8%,9%,7%,11%,11%,17%,11%,11%,9%,36%,15%,0%,13%,10%,7%,6%,13%,5%,0%, ,12%,14%,8%,9%,5%,11%,7%,10%,16%,7%,18%, ,8%,10%,13%,7%,10%,7%,9%,9%,9%,6%,20%, ,11%,12%,11%
Occasion based messages (ideas for how and when I can use the product) - Not at all impactful,64,,36,28, ,10,25,16,12,1, ,5,9,23,16,11, ,10,17,16,19,2, ,2,3,15,25,19, ,2,5,4,12,3,4,2,6,9,0,10,1,4,1,3,7,4,0,7,2,0, ,21,3,6,4,2,2,5,8,11,0,2, ,17,18,15,9,6,2,15,10,15,6,2, ,7,4,53
,6%,,7%,5%, ,4%,9%,6%,11%,2%, ,4%,4%,9%,8%,6%, ,4%,4%,6%,22%,12%, ,2%,1%,4%,14%,33%, ,17%,5%,17%,4%,5%,8%,5%,6%,33%,0%,4%,9%,8%,6%,5%,7%,7%,0%,6%,5%,0%, ,8%,5%,12%,9%,3%,11%,5%,4%,8%,0%,18%, ,4%,6%,7%,4%,3%,2%,5%,3%,5%,3%,20%, ,4%,3%,7%
"Old Fashioned values
 - Very impactful ",144,,78,66, ,37,39,45,15,8, ,15,11,53,34,31, ,65,53,17,7,2, ,27,63,42,9,2, ,2,19,3,46,6,5,7,14,2,4,31,4,7,3,18,13,8,3,27,5,0, ,35,13,10,12,8,4,20,21,15,5,1, ,78,59,35,43,30,20,65,53,58,36,1, ,10,17,120
,14%,,16%,13%, ,13%,14%,16%,13%,15%, ,12%,5%,20%,16%,18%, ,26%,14%,7%,8%,12%, ,33%,23%,10%,5%,4%, ,17%,18%,13%,15%,11%,9%,16%,15%,7%,14%,12%,36%,13%,17%,29%,12%,14%,19%,23%,13%,0%, ,13%,21%,20%,27%,13%,22%,19%,11%,10%,11%,9%, ,16%,19%,16%,20%,14%,19%,21%,15%,18%,19%,10%, ,5%,12%,17%
"Old Fashioned values
 - Fairly Impactful",318,,148,170, ,78,92,94,41,13, ,33,67,84,70,64, ,101,111,84,20,2, ,34,101,137,36,10, ,1,41,6,104,19,18,9,25,4,7,91,3,14,6,15,34,25,5,36,13,0, ,94,20,15,11,17,4,32,61,40,21,3, ,165,109,69,65,64,36,107,117,92,69,3, ,48,44,237
,32%,,30%,33%, ,28%,33%,34%,36%,25%, ,26%,30%,32%,33%,36%, ,40%,29%,32%,23%,12%, ,41%,38%,33%,20%,18%, ,8%,39%,25%,34%,33%,34%,20%,27%,15%,25%,34%,27%,26%,33%,24%,32%,45%,31%,31%,34%,0%, ,35%,32%,31%,24%,27%,22%,30%,32%,27%,46%,27%, ,35%,36%,32%,30%,31%,34%,35%,33%,29%,37%,30%, ,26%,31%,33%
"Old Fashioned values
 - Neither",327,,165,162, ,102,86,87,28,24, ,38,82,81,69,57, ,51,139,100,26,11, ,14,72,151,71,19, ,6,31,8,90,21,16,13,25,8,10,86,4,18,5,21,45,12,7,27,12,0, ,88,22,11,12,23,7,36,55,53,16,4, ,148,86,61,53,64,34,85,117,89,49,5, ,63,50,232
,33%,,34%,32%, ,36%,31%,31%,25%,45%, ,29%,36%,31%,33%,32%, ,20%,36%,38%,30%,65%, ,17%,27%,37%,39%,33%, ,50%,30%,33%,29%,37%,30%,30%,27%,30%,36%,32%,36%,34%,28%,33%,42%,21%,44%,23%,32%,0%, ,33%,35%,22%,27%,37%,39%,34%,29%,36%,35%,36%, ,31%,28%,29%,25%,31%,32%,28%,33%,28%,26%,50%, ,34%,35%,32%
"Old Fashioned values
 - Not very impactful",131,,60,71, ,41,37,32,17,4, ,33,39,23,21,15, ,21,56,41,13,0, ,4,28,56,38,5, ,1,10,4,43,6,8,10,20,3,4,40,0,12,1,8,7,6,1,20,4,0, ,27,6,8,7,11,1,15,36,18,2,0, ,53,31,32,33,40,13,32,50,52,19,0, ,42,19,82
,13%,,12%,14%, ,15%,13%,11%,15%,8%, ,26%,17%,9%,10%,9%, ,8%,15%,16%,15%,0%, ,5%,10%,14%,21%,9%, ,8%,10%,17%,14%,11%,15%,23%,22%,11%,14%,15%,0%,23%,6%,13%,7%,11%,6%,17%,11%,0%, ,10%,10%,16%,16%,18%,6%,14%,19%,12%,4%,0%, ,11%,10%,15%,15%,19%,12%,10%,14%,16%,10%,0%, ,23%,13%,11%
"Old Fashioned values
 - Not at all impactful",82,,39,43, ,23,22,21,12,4, ,10,26,20,17,9, ,15,25,19,21,2, ,3,5,27,26,21, ,2,4,3,23,5,6,5,9,10,3,19,0,2,3,1,7,5,0,7,4,0, ,24,2,5,3,3,2,3,15,20,2,3, ,30,19,17,22,11,3,19,21,26,13,1, ,21,14,55
,8%,,8%,8%, ,8%,8%,8%,11%,8%, ,8%,12%,8%,8%,5%, ,6%,7%,7%,24%,12%, ,4%,2%,7%,14%,37%, ,17%,4%,13%,8%,9%,11%,11%,10%,37%,11%,7%,0%,4%,17%,2%,7%,9%,0%,6%,11%,0%, ,9%,3%,10%,7%,5%,11%,3%,8%,14%,4%,27%, ,6%,6%,8%,10%,5%,3%,6%,6%,8%,7%,10%, ,11%,10%,8%
"Price cuts
 - Very impactful ",545,,243,302, ,137,158,150,68,32, ,70,127,148,114,86, ,167,217,110,44,7, ,45,163,229,84,23, ,5,63,12,170,32,32,26,61,9,18,156,3,26,11,36,46,34,7,68,24,0, ,147,36,22,27,36,9,55,105,71,30,7, ,279,190,141,139,125,56,188,208,207,121,7, ,110,78,389
,54%,,50%,59%, ,49%,57%,54%,60%,60%, ,54%,56%,57%,54%,49%, ,66%,57%,42%,51%,41%, ,55%,61%,55%,47%,40%, ,42%,60%,50%,56%,56%,60%,59%,66%,33%,64%,58%,27%,49%,61%,57%,43%,61%,44%,58%,63%,0%, ,55%,57%,45%,60%,58%,50%,52%,56%,49%,65%,64%, ,59%,63%,66%,64%,60%,53%,61%,58%,65%,65%,70%, ,60%,54%,54%
"Price cuts
 - Fairly Impactful",355,,194,161, ,109,91,102,34,19, ,47,75,85,78,70, ,62,141,115,32,5, ,31,83,144,75,22, ,5,35,8,115,16,18,10,28,9,3,100,6,25,4,22,40,19,7,39,14,0, ,100,20,21,14,21,5,31,64,64,11,4, ,152,99,54,60,64,37,94,121,92,48,3, ,58,51,261
,35%,,40%,31%, ,39%,33%,37%,30%,36%, ,36%,33%,33%,37%,40%, ,25%,37%,44%,37%,29%, ,38%,31%,35%,42%,39%, ,42%,33%,33%,38%,28%,34%,23%,30%,33%,11%,37%,55%,47%,22%,35%,38%,34%,44%,33%,37%,0%, ,37%,32%,43%,31%,34%,28%,29%,34%,44%,24%,36%, ,32%,33%,25%,28%,31%,35%,31%,34%,29%,26%,30%, ,32%,35%,36%
"Price cuts
 - Neither",76,,39,37, ,25,21,22,6,2, ,9,16,23,14,14, ,18,22,28,5,3, ,6,18,29,17,6, ,2,6,3,14,5,1,5,4,7,3,9,1,0,3,3,18,2,1,7,0,0, ,15,6,4,2,4,2,15,14,9,5,0, ,35,12,14,12,18,8,22,20,13,14,0, ,13,10,57
,8%,,8%,7%, ,9%,8%,8%,5%,4%, ,7%,7%,9%,7%,8%, ,7%,6%,11%,6%,18%, ,7%,7%,7%,9%,11%, ,17%,6%,13%,5%,9%,2%,11%,4%,26%,11%,3%,9%,0%,17%,5%,17%,4%,6%,6%,0%,0%, ,6%,10%,8%,4%,6%,11%,14%,7%,6%,11%,0%, ,7%,4%,7%,6%,9%,8%,7%,6%,4%,8%,0%, ,7%,7%,8%
"Price cuts
 - Not very impactful",20,,12,8, ,9,5,3,3,0, ,3,6,4,5,2, ,4,4,7,4,1, ,0,5,9,3,3, ,0,1,0,5,3,1,3,0,1,4,2,1,1,0,2,2,0,1,2,0,0, ,4,0,2,2,1,1,3,5,2,0,0, ,7,2,4,5,1,4,4,7,2,1,0, ,3,4,14
,2%,,2%,2%, ,3%,2%,1%,3%,0%, ,2%,3%,2%,2%,1%, ,2%,1%,3%,5%,6%, ,0%,2%,2%,2%,5%, ,0%,1%,0%,2%,5%,2%,7%,0%,4%,14%,1%,9%,2%,0%,3%,2%,0%,6%,2%,0%,0%, ,1%,0%,4%,4%,2%,6%,3%,3%,1%,0%,0%, ,1%,1%,2%,2%,0%,4%,1%,2%,1%,1%,0%, ,2%,3%,2%
"Price cuts
 - Not at all impactful",6,,2,4, ,1,1,2,2,0, ,0,1,1,0,4, ,2,0,1,2,1, ,0,0,2,1,3, ,0,0,1,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0, ,2,1,0,0,0,1,2,0,0,0,0, ,1,1,1,0,1,1,0,2,3,2,0, ,0,1,5
,1%,,0%,1%, ,0%,0%,1%,2%,0%, ,0%,0%,0%,0%,2%, ,1%,0%,0%,2%,6%, ,0%,0%,0%,1%,5%, ,0%,0%,4%,1%,2%,2%,0%,0%,4%,0%,0%,0%,2%,0%,0%,0%,2%,0%,1%,0%,0%, ,1%,2%,0%,0%,0%,6%,2%,0%,0%,0%,0%, ,0%,0%,0%,0%,0%,1%,0%,1%,1%,1%,0%, ,0%,1%,1%
"Premium / Quality credentials
 - Very impactful ",204,,109,95, ,57,59,54,25,9, ,30,40,67,32,35, ,79,75,38,11,1, ,38,73,71,20,2, ,2,27,7,60,9,11,10,14,2,9,47,5,8,2,20,20,14,4,34,10,0, ,54,15,14,13,13,4,16,36,29,10,0, ,100,71,53,70,42,28,80,83,84,53,1, ,29,27,157
,20%,,22%,19%, ,20%,21%,19%,22%,17%, ,23%,18%,26%,15%,20%, ,31%,20%,15%,13%,6%, ,46%,27%,17%,11%,4%, ,17%,26%,29%,20%,16%,21%,23%,15%,7%,32%,18%,45%,15%,11%,32%,19%,25%,25%,29%,26%,0%, ,20%,24%,29%,29%,21%,22%,15%,19%,20%,22%,0%, ,21%,23%,25%,32%,20%,26%,26%,23%,26%,28%,10%, ,16%,19%,22%
"Premium / Quality credentials
 - Fairly Impactful",451,,214,237, ,122,129,123,52,25, ,51,106,109,96,89, ,119,188,106,32,6, ,29,134,201,70,17, ,5,50,10,160,28,23,18,43,5,9,140,2,21,11,26,48,24,7,51,16,0, ,123,26,20,21,32,8,49,88,58,23,3, ,238,151,96,90,96,55,151,168,151,78,2, ,84,63,330
,45%,,44%,46%, ,43%,47%,44%,46%,47%, ,40%,47%,42%,45%,51%, ,47%,49%,41%,37%,35%, ,35%,50%,49%,39%,30%, ,42%,48%,42%,52%,49%,43%,41%,46%,19%,32%,52%,18%,40%,61%,41%,45%,43%,44%,44%,42%,0%, ,46%,41%,41%,47%,52%,44%,46%,47%,40%,50%,27%, ,50%,50%,45%,42%,46%,52%,49%,47%,48%,42%,20%, ,46%,44%,45%
"Premium / Quality credentials
 - Neither",233,,107,126, ,66,61,62,27,17, ,32,55,54,57,35, ,36,85,85,23,4, ,10,44,108,53,17, ,3,17,3,64,11,11,10,26,9,7,59,3,17,3,7,24,11,4,22,8,0, ,53,16,9,8,15,4,30,42,41,13,2, ,100,59,45,37,45,13,59,77,57,37,4, ,51,36,157
,23%,,22%,25%, ,23%,22%,22%,24%,32%, ,25%,24%,21%,27%,20%, ,14%,22%,33%,26%,24%, ,12%,16%,26%,29%,30%, ,25%,16%,13%,21%,19%,21%,23%,28%,33%,25%,22%,27%,32%,17%,11%,23%,20%,25%,19%,21%,0%, ,20%,25%,18%,18%,24%,22%,28%,22%,28%,28%,18%, ,21%,19%,21%,17%,22%,12%,19%,22%,18%,20%,40%, ,28%,25%,22%
"Premium / Quality credentials
 - Not very impactful",81,,42,39, ,30,19,27,4,1, ,11,19,22,21,8, ,14,27,24,14,2, ,3,13,31,26,8, ,2,8,3,14,7,7,6,7,4,3,16,1,6,2,9,7,6,1,8,3,0, ,30,4,3,1,2,2,6,16,13,0,4, ,26,15,13,15,20,7,14,26,21,13,2, ,16,16,55
,8%,,9%,8%, ,11%,7%,10%,4%,2%, ,9%,8%,8%,10%,5%, ,6%,7%,9%,16%,12%, ,4%,5%,8%,14%,14%, ,17%,8%,13%,5%,12%,13%,14%,8%,15%,11%,6%,9%,11%,11%,14%,7%,11%,6%,7%,8%,0%, ,11%,6%,6%,2%,3%,11%,6%,9%,9%,0%,36%, ,5%,5%,6%,7%,10%,7%,5%,7%,7%,7%,20%, ,9%,11%,8%
"Premium / Quality credentials
 - Not at all impactful",33,,18,15, ,6,8,13,5,1, ,5,5,9,5,9, ,5,9,8,7,4, ,2,5,2,11,13, ,0,3,1,8,2,1,0,3,7,0,5,0,1,0,1,7,1,0,2,1,0, ,8,2,3,2,0,0,5,6,5,0,2, ,10,8,7,4,6,3,4,4,4,5,1, ,4,2,27
,3%,,4%,3%, ,2%,3%,5%,4%,2%, ,4%,2%,3%,2%,5%, ,2%,2%,3%,8%,24%, ,2%,2%,0%,6%,23%, ,0%,3%,4%,3%,4%,2%,0%,3%,26%,0%,2%,0%,2%,0%,2%,7%,2%,0%,2%,3%,0%, ,3%,3%,6%,4%,0%,0%,5%,3%,3%,0%,18%, ,2%,3%,3%,2%,3%,3%,1%,1%,1%,3%,10%, ,2%,1%,4%
"Sustainability
 - Very impactful ",160,,85,75, ,46,42,48,16,8, ,22,32,46,32,28, ,48,67,31,12,2, ,25,60,52,20,3, ,2,18,5,41,8,7,9,10,4,5,34,3,4,3,18,22,7,4,29,6,0, ,36,13,9,9,11,5,14,32,22,9,0, ,77,54,44,51,42,24,60,64,64,46,1, ,26,27,118
,16%,,17%,15%, ,16%,15%,17%,14%,15%, ,17%,14%,18%,15%,16%, ,19%,17%,12%,14%,12%, ,30%,22%,13%,11%,5%, ,17%,17%,21%,13%,14%,13%,20%,11%,15%,18%,13%,27%,8%,17%,29%,21%,13%,25%,25%,16%,0%, ,13%,21%,18%,20%,18%,28%,13%,17%,15%,20%,0%, ,16%,18%,21%,24%,20%,23%,19%,18%,20%,25%,10%, ,14%,19%,16%
"Sustainability
 - Fairly Impactful",381,,180,201, ,99,103,105,48,26, ,46,87,94,85,69, ,100,161,88,29,3, ,29,117,162,59,13, ,2,40,8,126,17,24,18,38,5,13,109,3,20,7,22,36,21,6,38,13,0, ,98,23,21,16,22,4,43,75,57,19,3, ,191,116,71,76,83,41,124,134,123,73,2, ,67,52,279
,38%,,37%,39%, ,35%,37%,38%,42%,49%, ,36%,39%,36%,40%,39%, ,40%,42%,34%,33%,18%, ,35%,43%,39%,33%,23%, ,17%,38%,33%,41%,30%,45%,41%,41%,19%,46%,41%,27%,38%,39%,35%,34%,38%,38%,32%,34%,0%, ,37%,37%,43%,36%,35%,22%,41%,40%,39%,41%,27%, ,40%,38%,33%,35%,40%,39%,40%,37%,39%,39%,20%, ,36%,36%,38%
"Sustainability
 - Neither",287,,123,164, ,92,79,78,24,14, ,38,72,72,57,48, ,64,107,87,20,9, ,16,59,139,52,21, ,6,28,8,89,15,15,10,27,9,7,85,2,20,5,9,26,18,4,28,13,0, ,80,21,10,11,17,5,33,53,41,12,4, ,135,82,63,56,49,26,71,99,85,44,4, ,58,51,195
,29%,,25%,32%, ,33%,29%,28%,21%,26%, ,29%,32%,28%,27%,27%, ,25%,28%,33%,23%,53%, ,20%,22%,34%,29%,37%, ,50%,27%,33%,29%,26%,28%,23%,29%,33%,25%,32%,18%,38%,28%,14%,25%,32%,25%,24%,34%,0%, ,30%,33%,20%,24%,27%,28%,31%,28%,28%,26%,36%, ,28%,27%,29%,26%,23%,25%,23%,28%,27%,24%,40%, ,32%,35%,27%
"Sustainability
 - Not very impactful",108,,63,45, ,27,36,31,11,3, ,16,21,28,21,22, ,21,32,43,12,0, ,7,22,47,26,6, ,0,11,1,38,12,4,4,12,2,2,32,0,6,2,13,10,6,2,15,2,0, ,34,5,6,8,6,2,10,15,16,5,1, ,50,37,27,25,23,13,38,42,33,14,2, ,21,9,82
,11%,,13%,9%, ,10%,13%,11%,10%,6%, ,12%,9%,11%,10%,13%, ,8%,8%,16%,14%,0%, ,9%,8%,11%,14%,11%, ,0%,10%,4%,12%,21%,8%,9%,13%,7%,7%,12%,0%,11%,11%,21%,9%,11%,13%,13%,5%,0%, ,13%,8%,12%,18%,10%,11%,9%,8%,11%,11%,9%, ,11%,12%,13%,12%,11%,12%,12%,12%,10%,8%,20%, ,11%,6%,11%
"Sustainability
 - Not at all impactful",66,,39,27, ,17,16,17,14,2, ,7,13,21,16,9, ,20,17,12,14,3, ,5,11,13,23,14, ,2,8,2,12,5,3,3,6,7,1,7,3,3,1,1,12,4,0,7,4,0, ,20,1,3,1,6,2,6,13,10,1,3, ,21,15,9,8,12,2,15,19,12,9,1, ,12,5,52
,7%,,8%,5%, ,6%,6%,6%,12%,4%, ,5%,6%,8%,8%,5%, ,8%,4%,5%,16%,18%, ,6%,4%,3%,13%,25%, ,17%,8%,8%,4%,9%,6%,7%,6%,26%,4%,3%,27%,6%,6%,2%,11%,7%,0%,6%,11%,0%, ,7%,2%,6%,2%,10%,11%,6%,7%,7%,2%,27%, ,4%,5%,4%,4%,6%,2%,5%,5%,4%,5%,10%, ,7%,3%,7%
"Tells me a story about the brand / product
 - Very impactful ",111,,65,46, ,24,31,39,11,6, ,23,17,32,23,16, ,47,37,20,5,2, ,26,49,31,3,2, ,1,15,1,37,3,2,7,8,4,2,18,2,4,1,13,10,8,5,20,5,0, ,22,10,8,7,8,3,15,19,15,4,0, ,62,44,28,28,33,19,38,47,42,30,0, ,19,10,88
,11%,,13%,9%, ,9%,11%,14%,10%,11%, ,18%,8%,12%,11%,9%, ,19%,10%,8%,6%,12%, ,32%,18%,8%,2%,4%, ,8%,14%,4%,12%,5%,4%,16%,9%,15%,7%,7%,18%,8%,6%,21%,9%,14%,31%,17%,13%,0%, ,8%,16%,16%,16%,13%,17%,14%,10%,10%,9%,0%, ,13%,14%,13%,13%,16%,18%,12%,13%,13%,16%,0%, ,10%,7%,12%
"Tells me a story about the brand / product
 - Fairly Impactful",340,,171,169, ,94,89,90,48,19, ,33,79,88,73,67, ,100,147,74,17,2, ,31,117,155,32,4, ,4,32,8,112,18,18,13,26,3,10,90,7,15,10,22,37,18,7,36,14,0, ,83,22,15,15,22,8,34,77,43,21,0, ,167,108,74,78,80,49,125,128,99,70,2, ,52,48,254
,34%,,35%,33%, ,33%,32%,32%,42%,36%, ,26%,35%,34%,35%,38%, ,40%,38%,28%,20%,12%, ,38%,43%,38%,18%,7%, ,33%,30%,33%,37%,32%,34%,30%,28%,11%,36%,34%,64%,28%,56%,35%,35%,32%,44%,31%,37%,0%, ,31%,35%,31%,33%,35%,44%,32%,41%,29%,46%,0%, ,35%,36%,35%,36%,38%,46%,41%,36%,31%,38%,20%, ,28%,33%,35%
"Tells me a story about the brand / product
 - Neither",315,,138,177, ,101,85,86,26,17, ,37,70,88,54,66, ,63,113,104,29,6, ,14,63,155,64,19, ,3,36,6,92,21,20,14,32,8,11,94,1,13,4,17,38,16,3,29,12,0, ,92,18,12,12,20,3,32,58,51,14,3, ,162,89,63,67,53,25,86,107,103,60,4, ,63,54,219
,31%,,28%,35%, ,36%,31%,31%,23%,32%, ,29%,31%,34%,26%,38%, ,25%,29%,40%,33%,35%, ,17%,23%,38%,36%,33%, ,25%,34%,25%,30%,37%,38%,32%,34%,30%,39%,35%,9%,25%,22%,27%,36%,29%,19%,25%,32%,0%, ,34%,29%,24%,27%,32%,17%,30%,31%,35%,30%,27%, ,34%,29%,29%,31%,25%,24%,28%,30%,32%,32%,40%, ,34%,38%,30%
"Tells me a story about the brand / product
 - Not very impactful",145,,66,79, ,42,41,40,13,9, ,22,40,33,33,17, ,24,59,44,14,4, ,8,31,48,47,11, ,2,11,4,42,9,9,4,19,2,4,43,1,16,2,7,14,9,1,20,2,0, ,40,10,7,4,8,2,18,21,25,7,3, ,57,41,26,30,28,11,41,54,49,17,2, ,35,21,95
,14%,,13%,15%, ,15%,15%,14%,12%,17%, ,17%,18%,13%,16%,10%, ,9%,15%,17%,16%,24%, ,10%,12%,12%,26%,19%, ,17%,10%,17%,14%,16%,17%,9%,20%,7%,14%,16%,9%,30%,11%,11%,13%,16%,6%,17%,5%,0%, ,15%,16%,14%,9%,13%,11%,17%,11%,17%,15%,27%, ,12%,13%,12%,14%,13%,10%,13%,15%,15%,9%,20%, ,19%,15%,13%
"Tells me a story about the brand / product
 - Not at all impactful",91,,50,41, ,20,30,24,15,2, ,14,19,20,28,10, ,19,28,19,22,3, ,3,9,24,34,21, ,2,11,5,23,6,4,6,8,10,1,22,0,5,1,4,7,5,0,12,5,0, ,31,3,7,7,4,2,7,13,12,0,5, ,26,22,23,13,15,2,18,22,24,9,2, ,15,11,70
,9%,,10%,8%, ,7%,11%,9%,13%,4%, ,11%,8%,8%,13%,6%, ,8%,7%,7%,25%,18%, ,4%,3%,6%,19%,37%, ,17%,10%,21%,8%,11%,8%,14%,9%,37%,4%,8%,0%,9%,6%,6%,7%,9%,0%,10%,13%,0%, ,12%,5%,14%,16%,6%,11%,7%,7%,8%,0%,45%, ,5%,7%,11%,6%,7%,2%,6%,6%,8%,5%,20%, ,8%,8%,10%
